Model,Features,Reducer,CV Acc,CV F1,Test Acc,Test F1,Time (s)
logistic,cnn,none,0.8075,0.8074,0.8478,0.8479,8.9
mlp_sklearn,cnn,none,0.8039,0.8036,0.8468,0.8463,17.4
svm_linear,cnn,none,0.8023,0.8025,0.8450,0.8451,267.8
svm_rbf,cnn,none,0.7725,0.7762,0.8312,0.8329,547.7
perceptron,cnn,none,0.7302,0.7295,0.7858,0.7857,27.2
random_forest,cnn,none,0.7189,0.7155,0.7752,0.7728,88.1
gradient_boosting,cnn,pca,0.6707,0.6707,0.7314,0.7314,900.4
knn,cnn,none,0.6151,0.6146,0.6670,0.6667,30.1
naive_bayes,cnn,none,0.5649,0.5603,0.6170,0.6137,12.7
decision_tree,cnn,none,0.4749,0.4756,0.5170,0.5165,69.6
svm_rbf,fused,pca,0.2835,0.2810,0.3050,0.3038,323.6
svm_rbf,hog,pca,0.2620,0.2599,0.2850,0.2838,246.7
svm_rbf,histogram,none,0.2657,0.2598,0.2830,0.2766,183.6
