run_id,model,feature,reducer,cv_accuracy,cv_f1,test_accuracy,test_f1,time_seconds
knn_histogram_none,knn,histogram,none,0.1865,0.1697,0.2052,0.1866,39.2
logistic_histogram_none,logistic,histogram,none,0.2274,0.2181,0.2386,0.2299,8.98
naive_bayes_histogram_none,naive_bayes,histogram,none,0.1671,0.14,0.1702,0.1429,0.63
decision_tree_histogram_none,decision_tree,histogram,none,0.1531,0.15,0.156,0.1546,27.1
perceptron_histogram_none,perceptron,histogram,none,0.1173,0.1125,0.1312,0.1198,3.42
mlp_sklearn_histogram_none,mlp_sklearn,histogram,none,0.2466,0.2362,0.2666,0.2643,142.09
kde_histogram_none,kde,histogram,none,0.1638,0.1481,0.1864,0.1665,92.72
knn_hog_none,knn,hog,none,0.0949,0.0737,0.0958,0.0746,4662.94
naive_bayes_hog_none,naive_bayes,hog,none,0.1911,0.1744,0.1924,0.176,99.17
decision_tree_hog_none,decision_tree,hog,none,0.0767,0.0751,0.074,0.0744,6538.3
perceptron_hog_none,perceptron,hog,none,0.1224,0.1211,0.1246,0.1239,816.58
mlp_sklearn_hog_none,mlp_sklearn,hog,none,0.2097,0.211,0.2304,0.2276,3356.23
knn_lbp_none,knn,lbp,none,0.157,0.1465,0.1706,0.1589,9.97
logistic_lbp_none,logistic,lbp,none,0.2211,0.2021,0.2252,0.2063,3.59
naive_bayes_lbp_none,naive_bayes,lbp,none,0.1367,0.1028,0.1414,0.1063,0.58
decision_tree_lbp_none,decision_tree,lbp,none,0.1231,0.1152,0.1312,0.1258,4.31
perceptron_lbp_none,perceptron,lbp,none,0.11,0.099,0.1194,0.1068,1.14
mlp_sklearn_lbp_none,mlp_sklearn,lbp,none,0.1901,0.1857,0.2024,0.2001,144.88
kde_lbp_none,kde,lbp,none,0.1685,0.1422,0.1804,0.1515,22.46
knn_glcm_none,knn,glcm,none,0.1235,0.1186,0.1308,0.1258,7.59
logistic_glcm_none,logistic,glcm,none,0.1925,0.1816,0.2018,0.1919,20.16
naive_bayes_glcm_none,naive_bayes,glcm,none,0.1011,0.054,0.1016,0.0503,0.51
decision_tree_glcm_none,decision_tree,glcm,none,0.1084,0.1012,0.1196,0.113,7.32
perceptron_glcm_none,perceptron,glcm,none,0.0866,0.0689,0.1064,0.0865,1.33
mlp_sklearn_glcm_none,mlp_sklearn,glcm,none,0.1713,0.1707,0.1862,0.1858,159.96
kde_glcm_none,kde,glcm,none,0.133,0.1123,0.137,0.1136,26.61
knn_fused_none,knn,fused,none,0.0987,0.0777,0.1036,0.0834,4638.94
naive_bayes_fused_none,naive_bayes,fused,none,0.2094,0.1935,0.212,0.1967,82.27
decision_tree_fused_none,decision_tree,fused,none,0.1446,0.1428,0.155,0.1455,4667.84
perceptron_fused_none,perceptron,fused,none,0.1491,0.1478,0.155,0.1551,838.24
mlp_sklearn_fused_none,mlp_sklearn,fused,none,0.2472,0.2423,0.2636,0.261,3199.07
